zip,state_abbr,state,congressional_district,representative_name,party,bioguide_id,lookup_status,active_on,source_zip_district,source_member
80234,CO,Colorado,8,Gabe Evans,Republican,E000300,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80235,CO,Colorado,1,Diana DeGette,Democrat,D000197,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80235,CO,Colorado,7,Brittany Pettersen,Democrat,P000620,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80236,CO,Colorado,1,Diana DeGette,Democrat,D000197,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80236,CO,Colorado,6,Jason Crow,Democrat,C001121,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80237,CO,Colorado,1,Diana DeGette,Democrat,D000197,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80237,CO,Colorado,6,Jason Crow,Democrat,C001121,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80238,CO,Colorado,1,Diana DeGette,Democrat,D000197,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80239,CO,Colorado,1,Diana DeGette,Democrat,D000197,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80239,CO,Colorado,6,Jason Crow,Democrat,C001121,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80239,CO,Colorado,8,Gabe Evans,Republican,E000300,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80241,CO,Colorado,8,Gabe Evans,Republican,E000300,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80246,CO,Colorado,1,Diana DeGette,Democrat,D000197,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80247,CO,Colorado,1,Diana DeGette,Democrat,D000197,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80247,CO,Colorado,6,Jason Crow,Democrat,C001121,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80249,CO,Colorado,1,Diana DeGette,Democrat,D000197,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80260,CO,Colorado,8,Gabe Evans,Republican,E000300,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80264,CO,Colorado,1,Diana DeGette,Democrat,D000197,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80266,CO,Colorado,1,Diana DeGette,Democrat,D000197,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80290,CO,Colorado,1,Diana DeGette,Democrat,D000197,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80293,CO,Colorado,1,Diana DeGette,Democrat,D000197,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80294,CO,Colorado,1,Diana DeGette,Democrat,D000197,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80301,CO,Colorado,2,Joe Neguse,Democrat,N000191,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80302,CO,Colorado,2,Joe Neguse,Democrat,N000191,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80303,CO,Colorado,2,Joe Neguse,Democrat,N000191,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80304,CO,Colorado,2,Joe Neguse,Democrat,N000191,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80305,CO,Colorado,2,Joe Neguse,Democrat,N000191,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80310,CO,Colorado,2,Joe Neguse,Democrat,N000191,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80401,CO,Colorado,7,Brittany Pettersen,Democrat,P000620,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80403,CO,Colorado,2,Joe Neguse,Democrat,N000191,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
